wave,m1,m2,m3,m4,m5,m6,s1,s2,s3,s4,s5,s6,t1,t2,t3,t4,t5,t6,date
900,12.8088888888889,12.0655555555556,15.0144444444444,16.2333333333333,11.6211111111111,14.0877777777778,9.29111111111111,12.3733333333333,8.99,11.4722222222222,8.34666666666667,9.94111111111111,27.3233333333333,24.2344444444444,18.7788888888889,7.07222222222222,17.77,12.7611111111111,2016-05-03
910,12.85875,12.11375,15.0475,16.31375,11.62875,14.18875,9.29625,12.38125,8.995,11.4575,8.3275,9.93,27.4175,24.305,18.88125,7.1175,17.91375,12.79875,2016-05-03
920,12.8966666666667,12.1466666666667,15.0133333333333,16.3444444444444,11.6022222222222,14.1577777777778,9.36222222222222,12.3977777777778,9.02111111111111,11.4833333333333,8.33666666666667,9.96444444444444,27.4688888888889,24.2822222222222,18.92,7.14555555555556,17.9755555555556,12.8622222222222,2016-05-03
930,12.74,12.105,14.885,16.36875,11.45875,14.0075,9.1375,12.29625,8.9625,11.2625,8.22375,9.85875,26.80625,24.0175,18.765,7.05875,17.745,12.69625,2016-05-03
940,12.6877777777778,12.0455555555556,14.7733333333333,16.2744444444444,11.2844444444444,13.99,9.09666666666667,12.1811111111111,8.74,11.2011111111111,8.1,9.70555555555556,26.8244444444444,23.8344444444444,18.7266666666667,7.09444444444444,17.8922222222222,12.6322222222222,2016-05-03
950,12.6125,11.96,14.62875,16.24375,11.22,13.9625,8.99125,12.05625,8.6475,11.13875,7.9675,9.555,26.5975,23.54125,18.5625,7.075,17.8775,12.52125,2016-05-03
960,12.6522222222222,11.8922222222222,14.5866666666667,16.2022222222222,11.1366666666667,14.08,9.00222222222222,11.9244444444444,8.52444444444444,11.0877777777778,7.86444444444444,9.42666666666667,26.8233333333333,23.4522222222222,18.5433333333333,7.13555555555556,18.02,12.5066666666667,2016-05-03
970,12.7333333333333,11.93,14.5255555555556,16.2277777777778,11.2066666666667,14.0533333333333,9.09444444444444,11.9777777777778,8.62111111111111,11.1566666666667,7.91,9.47222222222222,26.8755555555556,23.46,18.5477777777778,7.13222222222222,17.9655555555556,12.5877777777778,2016-05-03
980,12.83625,12.01875,14.6375,16.25875,11.24125,14.13125,9.1575,11.9725,8.68,11.21,7.96125,9.57375,27.0825,23.5725,18.60375,7.17,18.0475,12.68125,2016-05-03
990,12.85,12.115,14.695,16.27,11.34,14.205,9.265,12.095,8.81,11.345,8.055,9.69,27.165,23.545,18.605,7.18,17.98,12.72,2016-05-03
1000,12.9566666666667,12.2433333333333,14.8233333333333,16.28,11.4666666666667,14.2633333333333,9.34666666666667,12.1966666666667,8.94333333333333,11.44,8.13,9.81333333333333,27.44,23.8133333333333,18.77,7.27333333333333,18.05,12.85,2016-05-03
1010,13.0933333333333,12.41,15.02,16.3566666666667,11.6133333333333,14.4166666666667,9.47333333333333,12.3466666666667,9.1,11.5966666666667,8.24,9.97666666666667,27.8133333333333,24.14,19.0333333333333,7.38,18.2633333333333,13.0233333333333,2016-05-03
1020,13.205,12.545,15.16,16.405,11.73,14.49,9.585,12.49,9.25,11.715,8.34,10.105,28.115,24.41,19.26,7.465,18.4,13.17,2016-05-03
1030,13.2966666666667,12.6433333333333,15.2666666666667,16.45,11.8266666666667,14.5933333333333,9.67666666666667,12.58,9.37333333333333,11.7966666666667,8.41,10.21,28.3733333333333,24.64,19.4233333333333,7.52666666666667,18.4766666666667,13.2866666666667,2016-05-03
1040,13.39,12.74,15.385,16.515,11.93,14.7,9.76,12.65,9.47,11.865,8.475,10.295,28.635,24.89,19.615,7.595,18.625,13.41,2016-05-03
1050,13.48,12.82,15.4666666666667,16.5533333333333,11.9933333333333,14.7866666666667,9.83,12.7166666666667,9.56333333333333,11.9166666666667,8.52,10.34,28.88,25.09,19.7766666666667,7.64666666666667,18.73,13.5133333333333,2016-05-03
1060,13.5533333333333,12.8833333333333,15.5266666666667,16.6033333333333,12.0333333333333,14.8733333333333,9.87333333333333,12.7533333333333,9.62,11.94,8.55333333333333,10.3766666666667,29.0966666666667,25.2966666666667,19.9466666666667,7.71,18.85,13.61,2016-05-03
1070,13.6,12.915,15.555,16.65,12.06,14.92,9.905,12.77,9.66,11.955,8.56,10.39,29.235,25.41,20.05,7.755,18.93,13.66,2016-05-03
1080,13.62,12.93,15.5366666666667,16.6366666666667,12.0533333333333,14.93,9.9,12.7666666666667,9.66,11.9266666666667,8.54,10.37,29.28,25.4566666666667,20.1066666666667,7.78333333333333,18.98,13.6866666666667,2016-05-03
1090,13.55,12.905,15.465,16.595,11.99,14.88,9.86,12.735,9.625,11.85,8.49,10.3,29.195,25.39,20.095,7.795,18.97,13.635,2016-05-03
1100,13.45,12.8566666666667,15.3466666666667,16.5,11.89,14.77,9.78333333333333,12.6966666666667,9.57333333333333,11.72,8.41333333333333,10.21,29,25.23,20.05,7.81666666666667,18.9133333333333,13.5566666666667,2016-05-03
1110,13.1966666666667,12.7333333333333,14.9633333333333,16.1566666666667,11.6866666666667,14.5033333333333,9.62333333333333,12.62,9.58666666666667,11.4566666666667,8.28,10.0833333333333,28.3333333333333,24.71,19.7233333333333,7.76666666666667,18.3933333333333,13.3266666666667,2016-05-03
1120,13.345,12.615,14.955,16.32,11.565,14.665,9.355,12.3,9.225,11.265,8.07,9.84,27.995,24.765,20.035,7.86,18.86,13.365,2016-05-03
1130,13.3166666666667,12.47,14.89,16.3266666666667,11.3,14.6133333333333,9.23666666666667,12.0633333333333,8.95333333333333,11.14,7.86333333333333,9.58666666666667,27.9066666666667,24.47,19.9633333333333,7.85666666666667,19.2733333333333,13.2633333333333,2016-05-03
1140,12.8933333333333,12.0766666666667,14.2733333333333,15.87,10.8966666666667,14.2666666666667,8.97,11.6866666666667,8.61,10.7633333333333,7.53,9.17,26.99,23.4066666666667,19.26,7.72333333333333,18.76,12.7633333333333,2016-05-03
1150,12.69,11.79,13.995,15.79,10.62,14.13,8.805,11.37,8.295,10.565,7.315,8.88,26.5,22.75,18.91,7.65,18.85,12.455,2016-05-03
1160,12.4566666666667,11.68,13.8133333333333,15.57,10.5433333333333,13.9666666666667,8.84333333333333,11.33,8.29666666666667,10.5066666666667,7.28,8.81333333333333,26.2833333333333,22.2966666666667,18.52,7.56333333333333,18.47,12.22,2016-05-03
1170,12.3433333333333,11.6666666666667,13.7133333333333,15.4666666666667,10.54,13.91,8.89666666666667,11.3633333333333,8.36333333333333,10.5166666666667,7.3,8.83333333333333,26.19,22.0633333333333,18.35,7.54333333333333,18.2166666666667,12.1166666666667,2016-05-03
1180,12.37,11.685,13.705,15.48,10.555,13.975,8.9,11.35,8.37,10.515,7.3,8.82,26.195,22.065,18.39,7.58,18.27,12.125,2016-05-03
1190,12.3766666666667,11.6966666666667,13.72,15.4833333333333,10.5666666666667,14.0033333333333,8.93666666666667,11.37,8.38666666666667,10.53,7.31,8.84,26.2466666666667,22.0533333333333,18.4066666666667,7.6,18.32,12.1333333333333,2016-05-03
1200,12.4766666666667,11.7666666666667,13.79,15.5366666666667,10.63,14.1033333333333,8.99666666666667,11.4266666666667,8.45333333333333,10.5933333333333,7.36,8.9,26.46,22.2166666666667,18.5466666666667,7.66666666666667,18.46,12.24,2016-05-03
1210,12.605,11.865,13.915,15.62,10.73,14.235,9.095,11.52,8.545,10.685,7.435,8.995,26.75,22.455,18.73,7.74,18.61,12.385,2016-05-03
1220,12.77,11.9866666666667,14.0533333333333,15.73,10.8466666666667,14.4,9.2,11.62,8.66666666666667,10.8066666666667,7.51666666666667,9.11333333333333,27.12,22.7566666666667,18.94,7.82333333333333,18.79,12.56,2016-05-03
1230,12.915,12.1,14.19,15.83,10.965,14.54,9.32,11.73,8.775,10.925,7.6,9.23,27.47,23.035,19.135,7.89,18.965,12.725,2016-05-03
1240,13.0233333333333,12.1966666666667,14.3,15.9033333333333,11.0533333333333,14.6466666666667,9.40666666666667,11.8233333333333,8.87666666666667,11.0166666666667,7.67,9.32,27.7366666666667,23.2633333333333,19.2966666666667,7.97333333333333,19.0766666666667,12.85,2016-05-03
